eta,alpha,lambda,tau,perc_epst,add_layer,hidden_nodes,hidden_nodes2,val_mee
0.07,0.4,0.002,400,2,True,30,30,1.0667761467873644
0.007,0.9,0.003,200,3,True,40,40,1.106761316649033
0.09,0.6,0.003,200,1,True,40,20,1.1271478480816237
0.04,0.1,0.002,300,1,False,30,20,1.1418478166430939
0.04,0.1,0.003,400,1,False,30,20,1.1602199686875012
0.06,0.8,0.003,300,2,False,20,10,1.1669495793343923
0.06,0.6,0.003,300,1,False,10,30,1.1793257678154494
0.004,0.7,0.001,400,1,False,20,40,1.1849173787542404
0.008,0.7,0.005,400,2,True,30,30,1.1926198302646358
0.009,0.7,0.005,400,2,False,15,15,1.2025565180405375
0.01,0.7,0.006,200,3,False,15,10,1.2250079019372337
0.007,0.8,0.008,400,3,False,10,40,1.225910147350026
0.05,0.2,0.007,400,2,False,20,40,1.2384660918362156
0.02,0.2,0.006,300,3,False,20,10,1.240790164329932
0.003,0.5,0.001,200,2,True,10,20,1.2498722188027491
0.005,0.7,0.005,300,2,False,10,15,1.254824745932684
0.03,0.5,0.009,400,2,False,15,20,1.2553930354843066
0.004,0.4,0.006,300,2,True,20,10,1.266559958915336
0.006,0.1,0.005,300,2,False,10,20,1.2752433081188823
0.005,0.2,0.006,300,2,False,10,15,1.2859079623402978
0.03,0.6,0.009,200,1,False,30,15,1.2894868599397133
0.001,0.8,0.007,200,1,True,40,15,1.3418740998148178
0.005,0.4,0.009,400,2,False,30,10,1.3426180644233459
0.003,0.6,0.004,200,1,False,20,20,1.3530509089552325
0.004,0.2,0.002,300,1,False,30,20,1.3590778977884646
0.001,0.3,0.001,400,1,True,15,30,1.3754922644748326
0.002,0.4,0.007,300,3,False,20,20,1.4104562178106783
0.002,0.2,0.009,400,2,False,20,30,1.4227747579637533
0.001,0.4,0.003,300,1,False,20,20,1.519125074076775
0.001,0.3,0.008,400,2,False,30,10,1.565588113185509
