alpha,eta,hidden_nodes,mse
0.2,0.9,2,0.11853378303442755
0.5,0.8,2,0.1186612783035575
0.9,0.7,4,0.1257186919715282
0.7,0.7,3,0.13424628866275476
0.9,0.9,3,0.14013334178573122
0.8,0.8,4,0.14062088705993037
0.3,0.9,4,0.1409427855679257
0.7,0.9,4,0.1410967222440849
0.1,0.8,2,0.14308515838030478
0.4,0.8,2,0.1431150713140001
0.9,0.6,4,0.1449143270489147
0.6,0.5,2,0.14553382503251502
0.5,0.6,2,0.14722332045393965
0.4,0.5,2,0.1539518301187992
0.1,0.5,4,0.15508911018941796
0.3,0.4,4,0.15617905340563637
0.8,0.4,2,0.1600047408286961
0.8,0.3,2,0.16527751736622842
0.1,0.3,3,0.1668349443616789
0.9,0.2,4,0.1742072659143229
0.2,0.2,2,0.17465360036611613
0.9,0.2,2,0.17471598780381548
0.7,0.2,2,0.1749308397555371
0.4,0.2,4,0.17556725038417723
0.7,0.2,3,0.1760259456237017
0.1,0.2,3,0.17642206097012147
0.9,0.2,3,0.1772981434820907
0.6,0.2,3,0.1791978179728234
0.6,0.1,2,0.19849871485471712
0.8,0.1,2,0.20137524585487104
